Price,Location,Mileage,Engine,Year,Fuel_Type,Make_Model
12500000,Telijjawila,82285,1000,2017,Petrol,Honda Civic
2600000,Mattegoda,162481,1331,2002,Petrol,KIA Sephia
5500000,Homagama,166600,1000,2007,Petrol,Toyota Belta
6795000,Kurunegala,51000,650,2018,Hybrid,Suzuki Spacia
4200000,Gampaha,114000,1000,2010,Petrol,Perodua Viva
3500000,Kiribathgoda,90000,600,2013,Electric,Mitsubishi i-MiEV
800000,Warakapola,1000000,1500,1980,Petrol,Mitsubishi Lancer
5375000,Dehiwala,150000,1000,2007,Petrol,Toyota Vitz
16000000,Piliyandala,78000,2143,2013,Hybrid,Mercedes Benz E Class
8200000,Matara,90000,1500,2015,Petrol,Honda Fit
12500000,Telijjawila,82285,1000,2017,Petrol,Honda Civic
2600000,Mattegoda,162481,1331,2002,Petrol,KIA Sephia
5500000,Homagama,166600,1000,2007,Petrol,Toyota Belta
3450000,Kahawatta,167000,1000,2010,Petrol,Suzuki Estilo
7650000,Mattakkuliya (Colombo 15),6800,650,2025,Petrol,Suzuki Wagon R
9000000,Katugastota,96000,1000,2018,Petrol,Audi A1
800000,Warakapola,1000000,1500,1980,Petrol,Mitsubishi Lancer
4150000,Kandy,149000,1300,2003,Petrol,Suzuki Swift
3650000,Kaduwela,0,660,2011,Petrol,Perodua Viva
2650000,Kurunegala,123456,800,2006,Petrol,Suzuki Alto
6475000,Panadura,22000,1490,2012,Hybrid,Toyota Aqua
5600000,Ja-Ela,125112,660,2017,Petrol,Suzuki Hustler
8250000,Nawala,0,658,2025,Petrol,Suzuki Hustler
6850000,Kottawa,6600,660,2023,Petrol,Mitsubishi eK
12500000,Telijjawila,82285,1000,2017,Petrol,Honda Civic
2600000,Mattegoda,162481,1331,2002,Petrol,KIA Sephia
5500000,Homagama,166600,1000,2007,Petrol,Toyota Belta
4975000,Athurugiriya,200000,1000,2010,Petrol,Toyota Passo
6000000,Dehiwala,190000,1300,2006,Petrol,Toyota Yaris
4250000,Peradeniya,150000,1600,1991,Petrol,Mitsubishi Lancer
3490000,Hanwella,128000,650,2015,Petrol,Suzuki Alto
7750000,Ampara,7600,660,2024,Hybrid,Suzuki Wagon R
1450000,Peradeniya,190000,1200,1989,Petrol,Mitsubishi Lancer
12500000,Telijjawila,82285,1000,2017,Petrol,Honda Civic
2600000,Mattegoda,162481,1331,2002,Petrol,KIA Sephia
5500000,Homagama,166600,1000,2007,Petrol,Toyota Belta
7850000,Galle,176000,1300,2011,Hybrid,Honda Insight
6650000,Kalagedihena,9300,650,2024,Petrol,Suzuki Alto
7150000,Kottawa,6600,660,2024,Petrol,Suzuki Wagon R
8400000,Kurunegala,0,660,2025,Hybrid,Suzuki Spacia
5550000,Kandy,0,658,2014,Hybrid,Suzuki Wagon R
2700000,Kurunegala,0,0,2007,Petrol,Suzuki Maruti
3600000,Buttala,116000,796,2015,Petrol,Suzuki Alto
6750000,Galle,138000,1500,2012,Petrol,Toyota Aqua
4700000,Kurunegala,0,0,2017,Petrol,Suzuki Wagon R
5650000,Kalagedihena,88000,650,2017,Petrol,Daihatsu Mira
2750000,Dehiwala,171132,1599,2001,Petrol,Hyundai Matrix
7150000,Kottawa,6600,660,2024,Petrol,Nissan Dayz
6550000,Galle,139000,1500,2012,Petrol,Toyota Aqua
12500000,Telijjawila,82285,1000,2017,Petrol,Honda Civic
2600000,Mattegoda,162481,1331,2002,Petrol,KIA Sephia
5500000,Homagama,166600,1000,2007,Petrol,Toyota Belta
2250000,Galewela,130000,1000,2004,Petrol,Suzuki Zen
7800000,Ratnapura,124000,1500,2015,Hybrid,Toyota Aqua
4350000,Piliyandala,190000,1490,2003,Petrol,Honda City
3950000,Ganemulla,145000,1300,2000,Petrol,Nissan N 16
10250000,Kurunegala,137000,1500,2015,Petrol,Toyota Axio
7300000,Kottawa,6600,660,2023,Petrol,Daihatsu Cast
4850000,Giriulla,190000,1490,2003,Petrol,Nissan FB 15
8500000,Kandy,128000,1500,2008,Petrol,Toyota Premio
