Price,Location,Mileage,Engine,Manufacturer,Year,Model,Fuel_Type
"Rs: 12,500,000",Telijjawila,"82,285",1000,Honda,2017,Civic,Petrol
"Rs: 2,600,000",Mattegoda,"162,481",1331,KIA,2002,Sephia,Petrol
"Rs: 5,500,000",Homagama,"166,600",1000,Toyota,2007,Belta,Petrol
"Rs: 6,795,000",Kurunegala,"51,000",650,Suzuki,2018,Spacia,Hybrid
"Rs: 4,200,000",Gampaha,"114,000",1000,Perodua,2010,Viva,Petrol
"Rs: 3,500,000",Kiribathgoda,"90,000",600,Mitsubishi,2013,i-MiEV,Electric
"Rs: 800,000",Warakapola,"1,000,000",1500,Mitsubishi,1980,Lancer,Petrol
Negotiable,Gampaha,"123,000",1340,Nissan,1996,Laurel,Petrol
Negotiable,Gampaha,0,1500,Nissan,2000,FB 15,Diesel
Negotiable,Matale,100,650,Daihatsu,2025,Mira,Petrol
Negotiable,Mirigama,0,650,Suzuki,2025,Wagon R,Petrol
Negotiable,Mirigama,0,650,Suzuki,2025,Wagon R,Petrol
Negotiable,Mirigama,0,650,Suzuki,2025,Wagon R,Petrol
Negotiable,Matale,100,650,Suzuki,2024,Wagon R,Petrol
Negotiable,Matale,0,650,Suzuki,2025,Wagon R,Petrol
Negotiable,Matale,0,650,Suzuki,2025,Wagon R,Petrol
Negotiable,Matale,100,650,Suzuki,2025,Wagon R,Petrol
Negotiable,Matale,100,650,Suzuki,2024,Every,Petrol
Negotiable,Thihariya,0,1500,Mitsubishi,1996,Lancer,Petrol
Negotiable,Chilaw,0,1800,Toyota,2012,Prius,Hybrid
"Rs: 5,375,000",Dehiwala,"150,000",1000,Toyota,2007,Vitz,Petrol
"Rs: 16,000,000",Piliyandala,"78,000",2143,Mercedes Benz,2013,E Class,Hybrid
"Rs: 8,200,000",Matara,"90,000",1500,Honda,2015,Fit,Petrol
"Rs: 12,500,000",Telijjawila,"82,285",1000,Honda,2017,Civic,Petrol
"Rs: 2,600,000",Mattegoda,"162,481",1331,KIA,2002,Sephia,Petrol
"Rs: 5,500,000",Homagama,"166,600",1000,Toyota,2007,Belta,Petrol
"Rs: 3,450,000",Kahawatta,"167,000",1000,Suzuki,2010,Estilo,Petrol
"Rs: 7,650,000",Mattakkuliya (Colombo 15),"6,800",650,Suzuki,2025,Wagon R,Petrol
"Rs: 9,000,000",Katugastota,"96,000",1000,Audi,2018,A1,Petrol
Negotiable,Matale,"100,000",1500,Nissan,2007,Sunny,Petrol
Negotiable,Mirigama,"30,000",650,Suzuki,2023,Wagon R,Petrol
"Rs: 800,000",Warakapola,"1,000,000",1500,Mitsubishi,1980,Lancer,Petrol
Negotiable,Gampaha,"143,000",1246,Nissan,1996,B13,Petrol
"Rs: 4,150,000",Kandy,"149,000",1300,Suzuki,2003,Swift,Petrol
Negotiable,Godagama,"160,000",1400,Nissan,2000,Primera,Petrol
"Rs: 3,650,000",Kaduwela,0,660,Perodua,2011,Viva,Petrol
